Device,video_name,frame_number,total_patches,true_patches,quadrant_std,quadrant_prnu_std,std,correct,prnu_std
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,12_,15,15,48.10280670853502,0.17865044,52.87316461576954,1,0.36804348
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,13_,15,13,48.066239217073345,0.20228131,52.54042886678269,1,0.35177553
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,14_,15,13,48.41599550423589,0.35064206,52.30009017477683,1,0.41657403
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,1_,15,15,47.66732848338312,0.26024818,52.097887284919615,1,0.26276454
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,2_,15,13,48.10280670853502,0.17865044,52.87316461576954,1,0.36804348
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,3_,15,14,47.66732848338312,0.26024818,52.097887284919615,1,0.26276454
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,4_,15,13,48.41599550423589,0.35064206,52.30009017477683,1,0.41657403
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,5_,15,12,48.010276920085374,0.17737205,53.02747960514031,1,0.17763013
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,6_,15,13,47.52052821770508,0.1819332,52.753188885365944,1,0.40864843
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,7_,15,13,47.96007503778971,0.18357156,52.45289694652674,1,0.34956196
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,8_,15,14,48.45958593379656,0.19283134,52.630149893451375,1,0.25192383
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,9_,15,13,47.39631583753022,0.17591442,52.93856988042172,1,0.41833127
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,0_,15,7,41.60692690480014,0.1936614,70.9207336883447,0,0.66385555
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,10_,15,0,41.60692690480014,0.1936614,70.9207336883447,0,0.66385555
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,11_,15,15,41.228450673450155,0.15661743,52.9202478791289,1,0.17684104
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,12_,15,15,45.60052062909242,0.17372161,52.64652332486169,1,0.18378533
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,13_,15,15,45.22440613172339,0.15950894,52.24630748012568,1,0.1730736
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,14_,15,15,46.047553547550535,0.25656936,52.746694495310415,1,0.2762831
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,1_,15,15,44.51416545657176,0.28040603,51.30955865904032,1,0.3128485
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,2_,15,15,45.60052062909242,0.17372161,52.64652332486169,1,0.18378533
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,3_,15,15,44.51416545657176,0.28040603,51.30955865904032,1,0.3128485
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,4_,15,7,46.047553547550535,0.25656936,52.746694495310415,0,0.2762831
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,5_,15,15,46.805817061300715,0.18156548,56.45994654387043,1,0.60658795
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,6_,15,15,47.9064738091857,0.17011604,52.455476104704395,1,0.22666322
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,7_,15,15,45.62014232113964,0.17016178,51.695429552446086,1,0.17488311
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,8_,15,15,45.01764675172931,0.16278073,50.71021681357599,1,0.16806334
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,9_,15,15,42.3393947025436,0.21057601,53.66382422002546,1,0.26536584
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,0_,15,15,48.32894373827796,0.18654053,52.812282798223436,1,0.33775666
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,10_,15,14,47.447140541852804,0.18410347,52.85321918536447,1,0.40520832
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,11_,15,14,48.096320416470846,0.18925169,51.95073056979961,1,0.30164778
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,12_,15,15,48.710549884900615,0.19077046,53.19306950352377,1,0.22540939
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,13_,15,13,48.20926270458225,0.18846065,52.46531515747836,1,0.33548295
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,14_,15,13,48.36045939181009,0.18761013,52.533223150808716,1,0.34403014
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,1_,15,14,47.536877373459106,0.18411842,52.90387676185354,1,0.4024102
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,2_,15,14,48.35422798797589,0.18593107,52.80837285122079,1,0.32851675
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,3_,15,15,47.536877373459106,0.18411842,52.90387676185354,1,0.4024102
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,4_,15,14,48.36045939181009,0.18761013,52.533223150808716,1,0.34403014
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,5_,15,14,48.05198792960019,0.18647228,52.90360241500096,1,0.42020342
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,6_,15,14,48.39531502318125,0.1909564,53.60200175139478,1,0.3500848
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,7_,15,13,48.44613551725849,0.183606,51.75745997571556,1,0.18047594
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,8_,15,14,48.760391834302204,0.18504497,52.319049257212214,1,0.23769961
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,9_,15,11,48.158051871385624,0.20393278,52.21457955791956,1,0.39017385
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,0_,15,15,45.62181480167047,0.17661935,51.69114467177665,1,0.18237661
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,10_,15,15,45.786753205797716,0.18390869,51.82865012423078,1,0.2447796
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,11_,15,0,42.46576195921089,0.19663179,70.22596365283036,0,0.62241966
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,12_,15,15,46.17543226736462,0.1775125,51.2170621719821,1,0.17418237
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,13_,15,15,47.43334096516557,0.1938837,53.490832087445284,1,0.4287526
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,14_,15,11,48.64235483703007,0.19625564,60.47636406846827,1,0.19265442
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,1_,15,15,43.71899964726659,0.18875465,65.84808405358798,1,0.37467313
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,2_,15,15,47.34968085990497,0.1861714,52.01531793659405,1,0.1920455
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,3_,15,15,43.71899964726659,0.18875465,65.84808405358798,1,0.37467313
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,4_,15,15,42.409239900189164,0.1535336,55.34142383353828,1,0.19205013
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,5_,15,15,45.41612932536845,0.20082708,51.249221374497765,1,0.21092671
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,6_,15,15,47.483723829985856,0.17693886,51.83376103575924,1,0.17596568
