Device,TPR,FPR,ACC,PPV,recall,F1
01SamsungGalaxyS3,0.6770228747012632,0.016374455848875754,0.9515160183066361,0.8286669452569996,0.6770228747012632,0.7452085682074407
02HuaweiP9,0.8573402417962004,0.026123718741275476,0.9618135011441648,0.791201785145043,0.8573402417962004,0.8229442970822282
03AppleiPhone5c,0.45825771324863884,0.02328830926874709,0.9358552631578947,0.6273291925465838,0.45825771324863884,0.529627687467226
04AppleiPhone6,0.7752851711026616,0.019812139868971505,0.9609196224256293,0.8024399842581661,0.7752851711026616,0.7886288918971186
05HuaweiP9Lite,0.6768909027535727,0.04745208972469023,0.9242705949656751,0.6198531758697734,0.6768909027535727,0.6471176274575142
06AppleiPhone6Plus,0.8086482805583929,0.04250729095921058,0.9418621281464531,0.6906077348066298,0.8086482805583929,0.7449811794228356
07SamsungGalaxyS5,0.9761140819964349,0.018439772682112627,0.9810140160183066,0.8550905683947533,0.9761140819964349,0.9116031296820376
08AppleiPhone5,0.7009955372468246,0.04218718818599082,0.9310640732265446,0.6589222329783802,0.7009955372468246,0.6793080505655357
09HuaweiP8,0.6849173553719008,0.027649218001915096,0.9425057208237986,0.7416107382550335,0.6849173553719008,0.7121374865735767
10SamsungGalaxyS4Mini,0.8501040943789036,0.011241329825400622,0.974470823798627,0.8967789165446559,0.8501040943789036,0.8728179551122195
Total,0.752645881006865,0.027483790999237225,0.950529176201373,0.752645881006865,0.752645881006865,0.7526458810068649
