Device,TPR,FPR,ACC
01SamsungGalaxyS3,0.6810406272273699,0.026188326081602497,0.9435733215547704
02HuaweiP9,0.7300949598246895,0.03348342202210397,0.942689929328622
03AppleiPhone5c,0.5043798985707699,0.019040761630465218,0.942910777385159
04AppleiPhone6,0.6954528085594192,0.03115962689910798,0.9425058892815077
05HuaweiP9Lite,0.4690458849235251,0.030546228810089265,0.9188751472320377
06AppleiPhone6Plus,0.6517794836008374,0.045222615422598963,0.9228136042402827
07SamsungGalaxyS5,0.8313124108416547,0.010876703332786078,0.9728356890459364
08AppleiPhone5,0.5635416666666667,0.05204216073781291,0.9072070082449941
09HuaweiP8,0.8251285819250551,0.06753661130655322,0.9217093639575972
10SamsungGalaxyS4Mini,0.8184397163120567,0.03934614752751766,0.9458922261484098
Total,0.6805064782096584,0.03549928019892684,0.9361012956419317
