Video Name,Total Frames,Correct Frames
01AppleiPhone4sVflatWAstill0001P-number,30,30
01AppleiPhone4sVflatYTstill0001P-number,280,168
01AppleiPhone4sVflatstill0001P-number,280,237
01AppleiPhone4sVindoorWAmove0001P-number,30,15
01AppleiPhone4sVindoorYTmove0001P-number,280,77
01AppleiPhone4sVindoormove0001P-number,280,40
01AppleiPhone4sVoutdoorWAstill0001P-number,30,0
01AppleiPhone4sVoutdoorYTstill0001P-number,280,8
01AppleiPhone4sVoutdoorstill0001P-number,280,5
02HuaweiP9VflatWAmove0002P-number,30,27
02HuaweiP9VflatWAstill0001P-number,30,30
02HuaweiP9VflatYTmove0002P-number,280,248
02HuaweiP9VflatYTstill0001P-number,280,273
02HuaweiP9Vflatmove0002P-number,279,258
02HuaweiP9Vflatstill0001P-number,280,279
02HuaweiP9VindoorWAmove0001P-number,30,6
02HuaweiP9VindoorWAmove0002P-number,30,0
02HuaweiP9VindoorYTmove0001P-number,280,32
02HuaweiP9VindoorYTmove0002P-number,280,23
02HuaweiP9Vindoormove0001P-number,279,21
02HuaweiP9Vindoormove0002P-number,280,59
02HuaweiP9VoutdoorWApanrot0001P-number,30,8
02HuaweiP9VoutdoorWAstill0002P-number,30,10
02HuaweiP9VoutdoorYTpanrot0001P-number,280,158
02HuaweiP9VoutdoorYTstill0002P-number,280,207
02HuaweiP9Voutdoorpanrot0001P-number,280,177
02HuaweiP9Voutdoorstill0002P-number,280,210
03AppleiPhone6VflatWApanrot0001P-number,30,30
03AppleiPhone6VflatYTpanrot0001P-number,280,280
03AppleiPhone6Vflatpanrot0001P-number,280,278
03AppleiPhone6VindoorWAmove0002P-number,30,7
03AppleiPhone6VindoorWAstill0002P-number,30,12
03AppleiPhone6VindoorYTmove0002P-number,280,19
03AppleiPhone6VindoorYTstill0002P-number,280,106
03AppleiPhone6Vindoormove0002P-number,280,58
03AppleiPhone6Vindoorstill0002P-number,280,113
03AppleiPhone6VoutdoorWApanrot0001P-number,30,14
03AppleiPhone6VoutdoorWAstill0001P-number,30,28
03AppleiPhone6VoutdoorYTpanrot0001P-number,280,69
03AppleiPhone6VoutdoorYTstill0001P-number,280,201
03AppleiPhone6Voutdoorpanrot0001P-number,280,113
03AppleiPhone6Voutdoorstill0001P-number,280,223
04SamsungGalaxyS3VflatWApanrot0001P-number,30,22
04SamsungGalaxyS3VflatWAstill0002P-number,30,24
04SamsungGalaxyS3VflatYTpanrot0001P-number,279,264
04SamsungGalaxyS3VflatYTstill0002P-number,280,240
04SamsungGalaxyS3Vflatpanrot0001P-number,279,235
04SamsungGalaxyS3Vflatstill0002P-number,280,239
04SamsungGalaxyS3VindoorWAmove0002P-number,30,9
04SamsungGalaxyS3VindoorWAstill0001P-number,30,3
04SamsungGalaxyS3VindoorYTmove0002P-number,280,83
04SamsungGalaxyS3VindoorYTstill0001P-number,280,31
04SamsungGalaxyS3Vindoormove0002P-number,280,75
04SamsungGalaxyS3Vindoorstill0001P-number,280,40
04SamsungGalaxyS3VoutdoorWAmove0001P-number,30,10
04SamsungGalaxyS3VoutdoorWApanrot0002P-number,30,14
04SamsungGalaxyS3VoutdoorYTmove0001P-number,280,31
04SamsungGalaxyS3VoutdoorYTpanrot0002P-number,280,131
04SamsungGalaxyS3Voutdoormove0001P-number,280,25
04SamsungGalaxyS3Voutdoorpanrot0002P-number,280,178
05AppleiPhone5cVflatWApanrot0001P-number,30,29
05AppleiPhone5cVflatWAstill0001P-number,30,28
05AppleiPhone5cVflatYTpanrot0001P-number,280,277
05AppleiPhone5cVflatYTstill0001P-number,280,226
05AppleiPhone5cVflatpanrot0001P-number,280,274
05AppleiPhone5cVflatstill0001P-number,280,268
05AppleiPhone5cVindoorWAstill0001P-number,30,9
05AppleiPhone5cVindoorWAstill0002P-number,30,12
05AppleiPhone5cVindoorYTstill0001P-number,280,58
05AppleiPhone5cVindoorYTstill0002P-number,280,91
05AppleiPhone5cVindoorstill0001P-number,280,59
05AppleiPhone5cVindoorstill0002P-number,279,75
05AppleiPhone5cVoutdoorWAmove0001P-number,30,22
05AppleiPhone5cVoutdoorWAstill0002P-number,30,11
05AppleiPhone5cVoutdoorYTmove0001P-number,280,193
05AppleiPhone5cVoutdoorYTstill0002P-number,280,163
05AppleiPhone5cVoutdoormove0001P-number,280,212
05AppleiPhone5cVoutdoorstill0002P-number,280,165
06HuaweiP9LiteVflatWApanrot0002P-number,30,30
06HuaweiP9LiteVflatWAstill0002P-number,30,17
06HuaweiP9LiteVflatYTpanrot0002P-number,280,257
06HuaweiP9LiteVflatYTstill0002P-number,280,118
06HuaweiP9LiteVflatpanrot0002P-number,280,267
06HuaweiP9LiteVflatstill0002P-number,280,105
06HuaweiP9LiteVindoorWAstill0001P-number,30,16
06HuaweiP9LiteVindoorWAstill0002P-number,30,10
06HuaweiP9LiteVindoorYTstill0001P-number,280,152
06HuaweiP9LiteVindoorYTstill0002P-number,280,99
06HuaweiP9LiteVindoorstill0001P-number,280,149
06HuaweiP9LiteVindoorstill0002P-number,280,100
06HuaweiP9LiteVoutdoorWApanrot0001P-number,30,15
06HuaweiP9LiteVoutdoorWAstill0001P-number,30,8
06HuaweiP9LiteVoutdoorYTpanrot0001P-number,280,65
06HuaweiP9LiteVoutdoorYTstill0001P-number,280,134
06HuaweiP9LiteVoutdoorpanrot0001P-number,280,68
06HuaweiP9LiteVoutdoorstill0001P-number,280,133
07AppleiPhone6PlusVflatWAmove0003P-number,30,30
07AppleiPhone6PlusVflatWAstill0001P-number,30,30
07AppleiPhone6PlusVflatYTmove0003P-number,280,253
07AppleiPhone6PlusVflatYTstill0001P-number,280,264
07AppleiPhone6PlusVflatmove0003P-number,280,275
07AppleiPhone6PlusVflatstill0001P-number,280,261
07AppleiPhone6PlusVindoorWAmove0001P-number,30,3
07AppleiPhone6PlusVindoorWAmove0002P-number,30,5
07AppleiPhone6PlusVindoorYTmove0001P-number,280,54
07AppleiPhone6PlusVindoorYTmove0002P-number,279,34
07AppleiPhone6PlusVindoormove0001P-number,280,41
07AppleiPhone6PlusVindoormove0002P-number,280,63
07AppleiPhone6PlusVoutdoorWAmove0001P-number,30,5
07AppleiPhone6PlusVoutdoorWAstill0001P-number,30,26
07AppleiPhone6PlusVoutdoorYTmove0001P-number,280,61
07AppleiPhone6PlusVoutdoorYTstill0001P-number,280,172
07AppleiPhone6PlusVoutdoormove0001P-number,280,55
07AppleiPhone6PlusVoutdoorstill0001P-number,280,200
08SonyXperiaZ1CompactVflatWAmove0003P-number,30,29
08SonyXperiaZ1CompactVflatWAstill0002P-number,30,23
08SonyXperiaZ1CompactVflatYTmove0003P-number,280,243
08SonyXperiaZ1CompactVflatYTstill0002P-number,278,265
08SonyXperiaZ1CompactVflatmove0003P-number,280,255
08SonyXperiaZ1CompactVflatstill0002P-number,280,271
08SonyXperiaZ1CompactVindoorWApanrot0001P-number,29,9
08SonyXperiaZ1CompactVindoorWApanrot0002P-number,30,13
08SonyXperiaZ1CompactVindoorYTpanrot0001P-number,280,87
08SonyXperiaZ1CompactVindoorYTpanrot0002P-number,280,79
08SonyXperiaZ1CompactVindoorpanrot0001P-number,280,82
08SonyXperiaZ1CompactVindoorpanrot0002P-number,280,137
08SonyXperiaZ1CompactVoutdoorWAmove0001P-number,30,10
08SonyXperiaZ1CompactVoutdoorWApanrot0001P-number,30,13
08SonyXperiaZ1CompactVoutdoorYTmove0001P-number,280,89
08SonyXperiaZ1CompactVoutdoorYTpanrot0001P-number,280,134
08SonyXperiaZ1CompactVoutdoormove0001P-number,280,94
08SonyXperiaZ1CompactVoutdoorpanrot0001P-number,280,164
09SamsungGalaxyS5VflatWAmove0003P-number,30,25
09SamsungGalaxyS5VflatWAstill0002P-number,30,29
09SamsungGalaxyS5VflatYTmove0003P-number,280,280
09SamsungGalaxyS5VflatYTstill0002P-number,280,279
09SamsungGalaxyS5Vflatmove0003P-number,280,279
09SamsungGalaxyS5Vflatstill0002P-number,280,280
09SamsungGalaxyS5VindoorWApanrot0001P-number,30,19
09SamsungGalaxyS5VindoorWApanrot0002P-number,30,20
09SamsungGalaxyS5VindoorYTpanrot0001P-number,280,117
09SamsungGalaxyS5VindoorYTpanrot0002P-number,280,128
09SamsungGalaxyS5Vindoorpanrot0001P-number,280,118
09SamsungGalaxyS5Vindoorpanrot0002P-number,280,110
09SamsungGalaxyS5VoutdoorWApanrot0002P-number,30,17
09SamsungGalaxyS5VoutdoorWAstill0002P-number,30,24
09SamsungGalaxyS5VoutdoorYTpanrot0002P-number,280,149
09SamsungGalaxyS5VoutdoorYTstill0002P-number,280,219
09SamsungGalaxyS5Voutdoorpanrot0002P-number,280,245
09SamsungGalaxyS5Voutdoorstill0002P-number,280,230
10AppleiPhone5VflatWAmove0003P-number,30,21
10AppleiPhone5VflatWAstill0001P-number,30,22
10AppleiPhone5VflatYTmove0003P-number,280,273
10AppleiPhone5VflatYTstill0001P-number,280,266
10AppleiPhone5Vflatmove0003P-number,280,278
10AppleiPhone5Vflatstill0001P-number,280,275
10AppleiPhone5VindoorWAmove0002P-number,30,15
10AppleiPhone5VindoorWAstill0002P-number,30,30
10AppleiPhone5VindoorYTmove0002P-number,280,153
10AppleiPhone5VindoorYTstill0002P-number,280,280
10AppleiPhone5Vindoormove0002P-number,280,125
10AppleiPhone5Vindoorstill0002P-number,280,280
10AppleiPhone5VoutdoorWAmove0002P-number,30,7
10AppleiPhone5VoutdoorWAstill0002P-number,30,4
10AppleiPhone5VoutdoorYTmove0002P-number,280,79
10AppleiPhone5VoutdoorYTstill0002P-number,280,102
10AppleiPhone5Voutdoormove0002P-number,280,82
10AppleiPhone5Voutdoorstill0002P-number,280,95
11XiaomiRedmiNote3VflatWAmove0001P-number,30,13
11XiaomiRedmiNote3VflatWApanrot0001P-number,30,30
11XiaomiRedmiNote3VflatYTmove0001P-number,280,272
11XiaomiRedmiNote3VflatYTpanrot0001P-number,280,280
11XiaomiRedmiNote3Vflatmove0001P-number,280,271
11XiaomiRedmiNote3Vflatpanrot0001P-number,280,280
11XiaomiRedmiNote3VindoorWApanrot0002P-number,30,19
11XiaomiRedmiNote3VindoorWAstill0001P-number,30,16
11XiaomiRedmiNote3VindoorYTpanrot0002P-number,280,160
11XiaomiRedmiNote3VindoorYTstill0001P-number,280,165
11XiaomiRedmiNote3Vindoorpanrot0002P-number,279,194
11XiaomiRedmiNote3Vindoorstill0001P-number,280,168
11XiaomiRedmiNote3VoutdoorWAmove0002P-number,30,0
11XiaomiRedmiNote3VoutdoorWAstill0002P-number,30,16
11XiaomiRedmiNote3VoutdoorYTmove0002P-number,280,48
11XiaomiRedmiNote3VoutdoorYTstill0002P-number,280,272
11XiaomiRedmiNote3Voutdoormove0002P-number,280,54
11XiaomiRedmiNote3Voutdoorstill0002P-number,280,273
12OnePlusA3000VflatWAmove0001P-number,30,30
12OnePlusA3000VflatWAstill0002P-number,30,30
12OnePlusA3000VflatYTmove0001P-number,280,264
12OnePlusA3000VflatYTstill0002P-number,280,276
12OnePlusA3000Vflatmove0001P-number,280,280
12OnePlusA3000Vflatstill0002P-number,280,280
12OnePlusA3000VindoorWAmove0001P-number,30,1
12OnePlusA3000VindoorWApanrot0001P-number,30,8
12OnePlusA3000VindoorYTmove0001P-number,280,41
12OnePlusA3000VindoorYTpanrot0001P-number,280,58
12OnePlusA3000Vindoormove0001P-number,280,16
12OnePlusA3000Vindoorpanrot0001P-number,279,79
12OnePlusA3000VoutdoorWAmove0002P-number,30,7
12OnePlusA3000VoutdoorWAstill0001P-number,30,30
12OnePlusA3000VoutdoorYTmove0002P-number,280,70
12OnePlusA3000VoutdoorYTstill0001P-number,280,216
12OnePlusA3000Voutdoormove0002P-number,280,98
12OnePlusA3000Voutdoorstill0001P-number,279,219
13HuaweiP8VflatWAmove0002P-number,30,29
13HuaweiP8VflatWAstill0001P-number,30,0
13HuaweiP8VflatYTmove0002P-number,280,255
13HuaweiP8VflatYTstill0001P-number,280,0
13HuaweiP8Vflatmove0002P-number,279,251
13HuaweiP8Vflatstill0001P-number,280,2
13HuaweiP8VindoorWAstill0001P-number,30,13
13HuaweiP8VindoorWAstill0002P-number,30,5
13HuaweiP8VindoorYTstill0001P-number,280,188
13HuaweiP8VindoorYTstill0002P-number,280,120
13HuaweiP8Vindoorstill0001P-number,280,188
13HuaweiP8Vindoorstill0002P-number,280,107
13HuaweiP8VoutdoorWAmove0002P-number,30,7
13HuaweiP8VoutdoorWApanrot0001P-number,30,12
13HuaweiP8VoutdoorYTmove0002P-number,280,120
13HuaweiP8VoutdoorYTpanrot0001P-number,280,143
13HuaweiP8Voutdoormove0002P-number,280,151
13HuaweiP8Voutdoorpanrot0001P-number,280,145
