Video Name,Total Frames,Correct Frames
06AppleiPhone6PlusVoutdoorWApanrot0002P-number,45,43
06AppleiPhone6PlusVoutdoorWAstill0001P-number,45,45
06AppleiPhone6PlusVoutdoorYTpanrot0002P-number,420,384
06AppleiPhone6PlusVoutdoorYTstill0001P-number,392,370
06AppleiPhone6PlusVoutdoorpanrot0002P-number,420,394
06AppleiPhone6PlusVoutdoorstill0001P-number,420,412
07SamsungGalaxyS5VflatWApanrot0001P-number,45,45
07SamsungGalaxyS5VflatWApanrot0002P-number,45,45
07SamsungGalaxyS5VflatYTpanrot0001P-number,420,420
07SamsungGalaxyS5VflatYTpanrot0002P-number,252,252
07SamsungGalaxyS5Vflatpanrot0001P-number,420,420
07SamsungGalaxyS5Vflatpanrot0002P-number,420,420
07SamsungGalaxyS5VindoorWAstill0001P-number,45,45
07SamsungGalaxyS5VindoorWAstill0002P-number,45,45
07SamsungGalaxyS5VindoorYTstill0001P-number,420,408
07SamsungGalaxyS5VindoorYTstill0002P-number,392,392
07SamsungGalaxyS5Vindoorstill0001P-number,420,414
07SamsungGalaxyS5Vindoorstill0002P-number,420,420
07SamsungGalaxyS5VoutdoorWAmove0002P-number,45,45
07SamsungGalaxyS5VoutdoorWApanrot0002P-number,45,40
07SamsungGalaxyS5VoutdoorYTmove0002P-number,419,412
07SamsungGalaxyS5VoutdoorYTpanrot0002P-number,392,368
07SamsungGalaxyS5Voutdoormove0002P-number,420,418
07SamsungGalaxyS5Voutdoorpanrot0002P-number,420,410
08AppleiPhone5VflatWAmove0001P-number,45,38
08AppleiPhone5VflatWApanrot0002P-number,45,40
08AppleiPhone5VflatYTmove0001P-number,419,378
08AppleiPhone5VflatYTpanrot0002P-number,420,400
08AppleiPhone5Vflatmove0001P-number,420,407
08AppleiPhone5Vflatpanrot0002P-number,420,403
08AppleiPhone5VindoorWApanrot0002P-number,45,35
08AppleiPhone5VindoorWAstill0002P-number,45,45
08AppleiPhone5VindoorYTpanrot0002P-number,420,312
08AppleiPhone5VindoorYTstill0002P-number,420,420
08AppleiPhone5Vindoorpanrot0002P-number,420,389
08AppleiPhone5Vindoorstill0002P-number,420,420
