Video Name,Total Frames,Correct Frames
01AppleiPhone4sVflatWAstill0001P-number,30,13
01AppleiPhone4sVflatYTstill0001P-number,280,144
01AppleiPhone4sVflatstill0001P-number,280,207
01AppleiPhone4sVindoorWAmove0001P-number,30,5
01AppleiPhone4sVindoorYTmove0001P-number,280,74
01AppleiPhone4sVindoormove0001P-number,280,41
01AppleiPhone4sVoutdoorWAstill0001P-number,30,0
01AppleiPhone4sVoutdoorYTstill0001P-number,280,28
01AppleiPhone4sVoutdoorstill0001P-number,280,16
02HuaweiP9VflatWAmove0002P-number,30,24
02HuaweiP9VflatWAstill0001P-number,30,30
02HuaweiP9VflatYTmove0002P-number,280,230
02HuaweiP9VflatYTstill0001P-number,280,280
02HuaweiP9Vflatmove0002P-number,279,246
02HuaweiP9Vflatstill0001P-number,280,280
02HuaweiP9VindoorWAmove0001P-number,30,7
02HuaweiP9VindoorWAmove0002P-number,30,0
02HuaweiP9VindoorYTmove0001P-number,280,41
02HuaweiP9VindoorYTmove0002P-number,280,30
02HuaweiP9Vindoormove0001P-number,279,30
02HuaweiP9Vindoormove0002P-number,280,37
02HuaweiP9VoutdoorWApanrot0001P-number,30,14
02HuaweiP9VoutdoorWAstill0002P-number,30,26
02HuaweiP9VoutdoorYTpanrot0001P-number,280,63
02HuaweiP9VoutdoorYTstill0002P-number,280,236
02HuaweiP9Voutdoorpanrot0001P-number,280,86
02HuaweiP9Voutdoorstill0002P-number,280,238
03AppleiPhone6VflatWApanrot0001P-number,30,26
03AppleiPhone6VflatYTpanrot0001P-number,280,274
03AppleiPhone6Vflatpanrot0001P-number,280,279
03AppleiPhone6VindoorWAmove0002P-number,30,7
03AppleiPhone6VindoorWAstill0002P-number,30,0
03AppleiPhone6VindoorYTmove0002P-number,280,41
03AppleiPhone6VindoorYTstill0002P-number,280,13
03AppleiPhone6Vindoormove0002P-number,280,73
03AppleiPhone6Vindoorstill0002P-number,280,13
03AppleiPhone6VoutdoorWApanrot0001P-number,30,5
03AppleiPhone6VoutdoorWAstill0001P-number,30,8
03AppleiPhone6VoutdoorYTpanrot0001P-number,280,41
03AppleiPhone6VoutdoorYTstill0001P-number,280,161
03AppleiPhone6Voutdoorpanrot0001P-number,280,69
03AppleiPhone6Voutdoorstill0001P-number,280,151
04SamsungGalaxyS3VflatWApanrot0001P-number,30,26
04SamsungGalaxyS3VflatWAstill0002P-number,30,30
04SamsungGalaxyS3VflatYTpanrot0001P-number,279,267
04SamsungGalaxyS3VflatYTstill0002P-number,280,250
04SamsungGalaxyS3Vflatpanrot0001P-number,279,261
04SamsungGalaxyS3Vflatstill0002P-number,280,254
04SamsungGalaxyS3VindoorWAmove0002P-number,30,8
04SamsungGalaxyS3VindoorWAstill0001P-number,30,0
04SamsungGalaxyS3VindoorYTmove0002P-number,280,110
04SamsungGalaxyS3VindoorYTstill0001P-number,280,39
04SamsungGalaxyS3Vindoormove0002P-number,280,96
04SamsungGalaxyS3Vindoorstill0001P-number,280,45
04SamsungGalaxyS3VoutdoorWAmove0001P-number,30,8
04SamsungGalaxyS3VoutdoorWApanrot0002P-number,30,11
04SamsungGalaxyS3VoutdoorYTmove0001P-number,280,92
04SamsungGalaxyS3VoutdoorYTpanrot0002P-number,280,146
04SamsungGalaxyS3Voutdoormove0001P-number,280,57
04SamsungGalaxyS3Voutdoorpanrot0002P-number,280,141
05AppleiPhone5cVflatWApanrot0001P-number,30,16
05AppleiPhone5cVflatWAstill0001P-number,30,10
05AppleiPhone5cVflatYTpanrot0001P-number,280,267
05AppleiPhone5cVflatYTstill0001P-number,280,200
05AppleiPhone5cVflatpanrot0001P-number,280,270
05AppleiPhone5cVflatstill0001P-number,280,230
05AppleiPhone5cVindoorWAstill0001P-number,30,1
05AppleiPhone5cVindoorWAstill0002P-number,30,16
05AppleiPhone5cVindoorYTstill0001P-number,280,103
05AppleiPhone5cVindoorYTstill0002P-number,280,85
05AppleiPhone5cVindoorstill0001P-number,280,108
05AppleiPhone5cVindoorstill0002P-number,279,82
05AppleiPhone5cVoutdoorWAmove0001P-number,30,22
05AppleiPhone5cVoutdoorWAstill0002P-number,30,27
05AppleiPhone5cVoutdoorYTmove0001P-number,280,189
05AppleiPhone5cVoutdoorYTstill0002P-number,280,204
05AppleiPhone5cVoutdoormove0001P-number,280,177
05AppleiPhone5cVoutdoorstill0002P-number,280,206
06HuaweiP9LiteVflatWApanrot0002P-number,30,30
06HuaweiP9LiteVflatWAstill0002P-number,30,28
06HuaweiP9LiteVflatYTpanrot0002P-number,280,249
06HuaweiP9LiteVflatYTstill0002P-number,280,206
06HuaweiP9LiteVflatpanrot0002P-number,280,268
06HuaweiP9LiteVflatstill0002P-number,280,178
06HuaweiP9LiteVindoorWAstill0001P-number,30,2
06HuaweiP9LiteVindoorWAstill0002P-number,30,11
06HuaweiP9LiteVindoorYTstill0001P-number,280,90
06HuaweiP9LiteVindoorYTstill0002P-number,280,141
06HuaweiP9LiteVindoorstill0001P-number,280,96
06HuaweiP9LiteVindoorstill0002P-number,280,149
06HuaweiP9LiteVoutdoorWApanrot0001P-number,30,2
06HuaweiP9LiteVoutdoorWAstill0001P-number,30,2
06HuaweiP9LiteVoutdoorYTpanrot0001P-number,280,24
06HuaweiP9LiteVoutdoorYTstill0001P-number,280,136
06HuaweiP9LiteVoutdoorpanrot0001P-number,280,28
06HuaweiP9LiteVoutdoorstill0001P-number,280,143
07AppleiPhone6PlusVflatWAmove0003P-number,30,29
07AppleiPhone6PlusVflatWAstill0001P-number,30,30
07AppleiPhone6PlusVflatYTmove0003P-number,280,247
07AppleiPhone6PlusVflatYTstill0001P-number,280,253
07AppleiPhone6PlusVflatmove0003P-number,280,272
07AppleiPhone6PlusVflatstill0001P-number,280,279
07AppleiPhone6PlusVindoorWAmove0001P-number,30,1
07AppleiPhone6PlusVindoorWAmove0002P-number,30,12
07AppleiPhone6PlusVindoorYTmove0001P-number,280,74
07AppleiPhone6PlusVindoorYTmove0002P-number,279,51
07AppleiPhone6PlusVindoormove0001P-number,280,24
07AppleiPhone6PlusVindoormove0002P-number,280,54
07AppleiPhone6PlusVoutdoorWAmove0001P-number,30,17
07AppleiPhone6PlusVoutdoorWAstill0001P-number,30,20
07AppleiPhone6PlusVoutdoorYTmove0001P-number,280,71
07AppleiPhone6PlusVoutdoorYTstill0001P-number,280,200
07AppleiPhone6PlusVoutdoormove0001P-number,280,82
07AppleiPhone6PlusVoutdoorstill0001P-number,280,202
08SonyXperiaZ1CompactVflatWAmove0003P-number,30,30
08SonyXperiaZ1CompactVflatWAstill0002P-number,30,20
08SonyXperiaZ1CompactVflatYTmove0003P-number,280,261
08SonyXperiaZ1CompactVflatYTstill0002P-number,278,140
08SonyXperiaZ1CompactVflatmove0003P-number,280,231
08SonyXperiaZ1CompactVflatstill0002P-number,280,177
08SonyXperiaZ1CompactVindoorWApanrot0001P-number,29,4
08SonyXperiaZ1CompactVindoorWApanrot0002P-number,30,9
08SonyXperiaZ1CompactVindoorYTpanrot0001P-number,280,89
08SonyXperiaZ1CompactVindoorYTpanrot0002P-number,280,48
08SonyXperiaZ1CompactVindoorpanrot0001P-number,280,113
08SonyXperiaZ1CompactVindoorpanrot0002P-number,280,91
08SonyXperiaZ1CompactVoutdoorWAmove0001P-number,30,7
