Video Name,Total Frames,Correct Frames
01AppleiPhone4sVflatWAstill0001P-number,30,19
01AppleiPhone4sVflatYTstill0001P-number,280,125
01AppleiPhone4sVflatstill0001P-number,280,192
01AppleiPhone4sVindoorWAmove0001P-number,30,7
01AppleiPhone4sVindoorYTmove0001P-number,280,52
01AppleiPhone4sVindoormove0001P-number,280,30
01AppleiPhone4sVoutdoorWAstill0001P-number,30,2
01AppleiPhone4sVoutdoorYTstill0001P-number,280,168
01AppleiPhone4sVoutdoorstill0001P-number,280,138
02HuaweiP9VflatWAmove0002P-number,30,28
02HuaweiP9VflatWAstill0001P-number,30,24
02HuaweiP9VflatYTmove0002P-number,280,229
02HuaweiP9VflatYTstill0001P-number,280,280
02HuaweiP9Vflatmove0002P-number,279,234
02HuaweiP9Vflatstill0001P-number,280,279
02HuaweiP9VindoorWAmove0001P-number,30,2
02HuaweiP9VindoorWAmove0002P-number,30,0
02HuaweiP9VindoorYTmove0001P-number,280,18
02HuaweiP9VindoorYTmove0002P-number,280,11
02HuaweiP9Vindoormove0001P-number,279,11
02HuaweiP9Vindoormove0002P-number,280,28
02HuaweiP9VoutdoorWApanrot0001P-number,30,8
02HuaweiP9VoutdoorWAstill0002P-number,30,25
02HuaweiP9VoutdoorYTpanrot0001P-number,280,51
02HuaweiP9VoutdoorYTstill0002P-number,280,264
02HuaweiP9Voutdoorpanrot0001P-number,280,69
02HuaweiP9Voutdoorstill0002P-number,280,273
03AppleiPhone6VflatWApanrot0001P-number,30,26
03AppleiPhone6VflatYTpanrot0001P-number,280,274
03AppleiPhone6Vflatpanrot0001P-number,280,271
03AppleiPhone6VindoorWAmove0002P-number,30,7
03AppleiPhone6VindoorWAstill0002P-number,30,13
03AppleiPhone6VindoorYTmove0002P-number,280,60
03AppleiPhone6VindoorYTstill0002P-number,280,124
03AppleiPhone6Vindoormove0002P-number,280,102
03AppleiPhone6Vindoorstill0002P-number,280,112
03AppleiPhone6VoutdoorWApanrot0001P-number,30,7
03AppleiPhone6VoutdoorWAstill0001P-number,30,11
03AppleiPhone6VoutdoorYTpanrot0001P-number,280,85
03AppleiPhone6VoutdoorYTstill0001P-number,280,211
03AppleiPhone6Voutdoorpanrot0001P-number,280,98
03AppleiPhone6Voutdoorstill0001P-number,280,201
04SamsungGalaxyS3VflatWApanrot0001P-number,30,26
04SamsungGalaxyS3VflatWAstill0002P-number,30,11
04SamsungGalaxyS3VflatYTpanrot0001P-number,279,256
04SamsungGalaxyS3VflatYTstill0002P-number,280,158
04SamsungGalaxyS3Vflatpanrot0001P-number,279,250
04SamsungGalaxyS3Vflatstill0002P-number,280,157
04SamsungGalaxyS3VindoorWAmove0002P-number,30,6
04SamsungGalaxyS3VindoorWAstill0001P-number,30,1
04SamsungGalaxyS3VindoorYTmove0002P-number,280,108
04SamsungGalaxyS3VindoorYTstill0001P-number,280,52
04SamsungGalaxyS3Vindoormove0002P-number,280,61
04SamsungGalaxyS3Vindoorstill0001P-number,280,53
04SamsungGalaxyS3VoutdoorWAmove0001P-number,30,7
04SamsungGalaxyS3VoutdoorWApanrot0002P-number,30,17
04SamsungGalaxyS3VoutdoorYTmove0001P-number,280,32
04SamsungGalaxyS3VoutdoorYTpanrot0002P-number,280,170
04SamsungGalaxyS3Voutdoormove0001P-number,280,42
04SamsungGalaxyS3Voutdoorpanrot0002P-number,280,131
05AppleiPhone5cVflatWApanrot0001P-number,30,18
05AppleiPhone5cVflatWAstill0001P-number,30,29
05AppleiPhone5cVflatYTpanrot0001P-number,280,247
05AppleiPhone5cVflatYTstill0001P-number,280,223
05AppleiPhone5cVflatpanrot0001P-number,280,264
05AppleiPhone5cVflatstill0001P-number,280,242
05AppleiPhone5cVindoorWAstill0001P-number,30,12
05AppleiPhone5cVindoorWAstill0002P-number,30,24
05AppleiPhone5cVindoorYTstill0001P-number,280,120
05AppleiPhone5cVindoorYTstill0002P-number,280,20
05AppleiPhone5cVindoorstill0001P-number,280,118
05AppleiPhone5cVindoorstill0002P-number,279,18
05AppleiPhone5cVoutdoorWAmove0001P-number,30,20
05AppleiPhone5cVoutdoorWAstill0002P-number,30,15
05AppleiPhone5cVoutdoorYTmove0001P-number,280,161
05AppleiPhone5cVoutdoorYTstill0002P-number,280,188
05AppleiPhone5cVoutdoormove0001P-number,280,183
05AppleiPhone5cVoutdoorstill0002P-number,280,182
06HuaweiP9LiteVflatWApanrot0002P-number,30,28
06HuaweiP9LiteVflatWAstill0002P-number,30,14
06HuaweiP9LiteVflatYTpanrot0002P-number,280,248
06HuaweiP9LiteVflatYTstill0002P-number,280,77
06HuaweiP9LiteVflatpanrot0002P-number,280,262
06HuaweiP9LiteVflatstill0002P-number,280,66
06HuaweiP9LiteVindoorWAstill0001P-number,30,2
06HuaweiP9LiteVindoorWAstill0002P-number,30,2
06HuaweiP9LiteVindoorYTstill0001P-number,280,58
06HuaweiP9LiteVindoorYTstill0002P-number,280,106
06HuaweiP9LiteVindoorstill0001P-number,280,49
06HuaweiP9LiteVindoorstill0002P-number,280,112
06HuaweiP9LiteVoutdoorWApanrot0001P-number,30,1
06HuaweiP9LiteVoutdoorWAstill0001P-number,30,4
06HuaweiP9LiteVoutdoorYTpanrot0001P-number,280,47
06HuaweiP9LiteVoutdoorYTstill0001P-number,280,127
06HuaweiP9LiteVoutdoorpanrot0001P-number,280,46
06HuaweiP9LiteVoutdoorstill0001P-number,280,137
07AppleiPhone6PlusVflatWAmove0003P-number,30,28
07AppleiPhone6PlusVflatWAstill0001P-number,30,26
07AppleiPhone6PlusVflatYTmove0003P-number,280,265
07AppleiPhone6PlusVflatYTstill0001P-number,280,269
07AppleiPhone6PlusVflatmove0003P-number,280,279
07AppleiPhone6PlusVflatstill0001P-number,280,280
07AppleiPhone6PlusVindoorWAmove0001P-number,30,1
07AppleiPhone6PlusVindoorWAmove0002P-number,30,7
07AppleiPhone6PlusVindoorYTmove0001P-number,280,43
07AppleiPhone6PlusVindoorYTmove0002P-number,279,40
07AppleiPhone6PlusVindoormove0001P-number,280,25
07AppleiPhone6PlusVindoormove0002P-number,280,54
07AppleiPhone6PlusVoutdoorWAmove0001P-number,30,9
07AppleiPhone6PlusVoutdoorWAstill0001P-number,30,4
07AppleiPhone6PlusVoutdoorYTmove0001P-number,280,36
07AppleiPhone6PlusVoutdoorYTstill0001P-number,280,140
07AppleiPhone6PlusVoutdoormove0001P-number,280,62
07AppleiPhone6PlusVoutdoorstill0001P-number,280,157
08SonyXperiaZ1CompactVflatWAmove0003P-number,30,24
08SonyXperiaZ1CompactVflatWAstill0002P-number,30,11
08SonyXperiaZ1CompactVflatYTmove0003P-number,280,232
08SonyXperiaZ1CompactVflatYTstill0002P-number,278,86
08SonyXperiaZ1CompactVflatmove0003P-number,280,261
08SonyXperiaZ1CompactVflatstill0002P-number,280,95
08SonyXperiaZ1CompactVindoorWApanrot0001P-number,29,1
08SonyXperiaZ1CompactVindoorWApanrot0002P-number,30,11
08SonyXperiaZ1CompactVindoorYTpanrot0001P-number,280,31
08SonyXperiaZ1CompactVindoorYTpanrot0002P-number,280,70
08SonyXperiaZ1CompactVindoorpanrot0001P-number,280,58
08SonyXperiaZ1CompactVindoorpanrot0002P-number,280,100
08SonyXperiaZ1CompactVoutdoorWAmove0001P-number,30,12
08SonyXperiaZ1CompactVoutdoorWApanrot0001P-number,30,10
08SonyXperiaZ1CompactVoutdoorYTmove0001P-number,280,97
08SonyXperiaZ1CompactVoutdoorYTpanrot0001P-number,280,99
08SonyXperiaZ1CompactVoutdoormove0001P-number,280,97
08SonyXperiaZ1CompactVoutdoorpanrot0001P-number,280,67
09SamsungGalaxyS5VflatWAmove0003P-number,30,30
09SamsungGalaxyS5VflatWAstill0002P-number,30,30
09SamsungGalaxyS5VflatYTmove0003P-number,280,280
09SamsungGalaxyS5VflatYTstill0002P-number,280,279
09SamsungGalaxyS5Vflatmove0003P-number,280,280
09SamsungGalaxyS5Vflatstill0002P-number,280,280
09SamsungGalaxyS5VindoorWApanrot0001P-number,30,15
09SamsungGalaxyS5VindoorWApanrot0002P-number,30,12
