Device,TPR,FPR,ACC,PPV,recall,F1
01SamsungGalaxyS3,0.6672366621067032,0.015246887676598125,0.9552982233502538,0.8173439463762044,0.6672366621067032,0.7347015627942007
02HuaweiP9,0.8583275742916379,0.026025291692866624,0.9633565989847716,0.769278414369774,0.8583275742916379,0.8113669769720725
03AppleiPhone5c,0.6253443526170799,0.01149706457925636,0.9550444162436548,0.8466200466200466,0.6253443526170799,0.7193503664091899
04AppleiPhone6,0.8114785252755606,0.026342206376129322,0.9601205583756345,0.7372237569060773,0.8114785252755606,0.7725710150171883
05HuaweiP9Lite,0.6717823508894315,0.04760409032213032,0.9268718274111675,0.5854103343465046,0.6717823508894315,0.625629364950463
06AppleiPhone6Plus,0.7491479209270621,0.03848037500874554,0.941751269035533,0.6664645239539114,0.7491479209270621,0.7053915275994865
07SamsungGalaxyS5,0.9832501781895937,0.02483109284669499,0.9758883248730964,0.7946428571428571,0.9832501781895937,0.878942338324307
08AppleiPhone5,0.8284145504461222,0.029818919107879465,0.9570748730964467,0.738904193449648,0.8284145504461222,0.7811033813298819
09HuaweiP8,0.6651754989676532,0.025861466415041588,0.9456535532994924,0.7231575009352788,0.6651754989676532,0.6929557268327657
10SamsungGalaxyS4Mini,0.8019424210891433,0.015923455669239098,0.9674175126903554,0.8352601156069365,0.8019424210891433,0.8182622544682358
Total,0.7650280849876147,0.026164160300414956,0.9548477157360407,0.7452166525063721,0.7650280849876147,0.7549924252857733
