Device,TPR,FPR,ACC,PPV,recall,F1
01SamsungGalaxyS3,0.7066571733713065,0.028367338560696252,0.9442358657243817,0.7417787742899851,0.7066571733713065,0.7237921604375569
02HuaweiP9,0.7571219868517166,0.0316414244781007,0.9470700824499411,0.7283907238229094,0.7571219868517166,0.7424785100286534
03AppleiPhone5c,0.4306131857999078,0.019040761630465218,0.9370214958775029,0.6624113475177305,0.4306131857999078,0.5219335009779269
04AppleiPhone6,0.6763469621704241,0.026801352287075884,0.9446039458186102,0.728995057660626,0.6763469621704241,0.7016848364717542
05HuaweiP9Lite,0.5564046579330422,0.04160524160524161,0.9177340989399293,0.6007858546168958,0.5564046579330422,0.577744190440204
06AppleiPhone6Plus,0.6531610199091862,0.03246245628471508,0.9344081272084805,0.7032719067318541,0.6531610199091862,0.6772908366533865
07SamsungGalaxyS5,0.837018544935806,0.02212280413725168,0.963339222614841,0.8132363132363133,0.837018544935806,0.8249560632688928
08AppleiPhone5,0.6409722222222223,0.06365283267457181,0.9050353356890459,0.5442216981132075,0.6409722222222223,0.5886479591836734
09HuaweiP8,0.7591911764705882,0.05787794502617801,0.9238074204946997,0.5933908045977011,0.7591911764705882,0.6661290322580644
10SamsungGalaxyS4Mini,0.75177304964539,0.029817644159684575,0.9475117785630153,0.7449051300070274,0.75177304964539,0.7483233321567243
Total,0.6823836866902238,0.035290701478864026,0.9364767373380447,0.6823836866902238,0.6823836866902238,0.6823836866902238
