Video Name,Total Frames,Correct Frames
04AppleiPhone5cVflatWAmove0002P-number,45,40
04AppleiPhone5cVflatWAstill0001P-number,45,45
04AppleiPhone5cVflatYTmove0002P-number,420,277
04AppleiPhone5cVflatYTstill0001P-number,419,419
04AppleiPhone5cVflatmove0002P-number,420,290
04AppleiPhone5cVflatstill0001P-number,419,419
04AppleiPhone5cVindoorWAmove0001P-number,45,14
04AppleiPhone5cVindoorWAmove0002P-number,45,27
04AppleiPhone5cVindoorYTmove0001P-number,420,222
04AppleiPhone5cVindoorYTmove0002P-number,420,226
04AppleiPhone5cVindoormove0001P-number,419,201
04AppleiPhone5cVindoormove0002P-number,420,222
04AppleiPhone5cVoutdoorWApanrot0002P-number,45,17
04AppleiPhone5cVoutdoorpanrot0002P-number,420,269
08AppleiPhone5cVflatWAmove0001P-number,45,45
08AppleiPhone5cVflatWAmove0003P-number,45,45
08AppleiPhone5cVflatYTmove0001P-number,420,420
08AppleiPhone5cVflatYTmove0003P-number,420,420
08AppleiPhone5cVflatmove0001P-number,420,420
08AppleiPhone5cVflatmove0003P-number,420,420
08AppleiPhone5cVindoorWAmove0002P-number,45,39
08AppleiPhone5cVindoorWApanrot0002P-number,45,27
08AppleiPhone5cVindoorYTmove0002P-number,392,233
08AppleiPhone5cVindoorYTpanrot0002P-number,392,215
08AppleiPhone5cVindoormove0002P-number,420,253
08AppleiPhone5cVindoorpanrot0002P-number,420,247
08AppleiPhone5cVoutdoorWApanrot0001P-number,45,25
08AppleiPhone5cVoutdoorWApanrot0002P-number,45,38
08AppleiPhone5cVoutdoorYTpanrot0001P-number,392,213
08AppleiPhone5cVoutdoorYTpanrot0002P-number,392,295
08AppleiPhone5cVoutdoorpanrot0001P-number,420,185
08AppleiPhone5cVoutdoorpanrot0002P-number,420,286
11AppleiPhone5cVflatWAstill0001P-number,44,44
11AppleiPhone5cVflatWAstill0002P-number,45,45
11AppleiPhone5cVflatYTstill0001P-number,419,419
11AppleiPhone5cVflatYTstill0002P-number,419,374
11AppleiPhone5cVflatstill0001P-number,420,419
11AppleiPhone5cVflatstill0002P-number,420,390
11AppleiPhone5cVindoorWAstill0002P-number,45,10
11AppleiPhone5cVindoorYTstill0002P-number,420,268
11AppleiPhone5cVindoorstill0002P-number,420,256
11AppleiPhone5cVoutdoorWApanrot0001P-number,45,31
11AppleiPhone5cVoutdoorYTpanrot0001P-number,420,267
