Device,TPR,FPR,ACC
01SamsungGalaxyS3,0.7824397824397824,0.01958364189911956,0.9614583333333333
02HuaweiP9,0.8202247191011236,0.020900454357703428,0.9633184523809524
03AppleiPhone5c,0.6655759162303665,0.023253861652115515,0.9413690476190476
04AppleiPhone6,0.8246554364471669,0.012032305917257293,0.9720982142857143
05HuaweiP9Lite,0.8496420047732697,0.04243618156447509,0.9474702380952381
06AppleiPhone6Plus,0.800589970501475,0.0227330779054917,0.9549851190476191
07SamsungGalaxyS5,0.9144634525660964,0.011930228731281883,0.9810267857142857
08AppleiPhone5,0.7591198610306891,0.0437121147443012,0.930952380952381
09HuaweiP8,0.5612998522895125,0.017942490010185694,0.9608630952380952
10SamsungGalaxyS4Mini,0.88301043219076,0.015126467184658621,0.9747023809523809
Total,0.7941220238095238,0.022875330687830688,0.9588244047619048
